source_id,source_name,provider,source_class,variables,spatial_grain,temporal_grain,latency,access_mode,authority_tier,operational_role,status,url,limitations
hii_station_document,เอกสารสถานีโทรมาตรพื้นที่ต้นน้ำ,HII/DNP,ground_metadata,"station identity|latitude|longitude",point,document snapshot,document dependent,PDF/manual,primary,station metadata,candidate,https://www.hii.or.th/wp-content/uploads/2026/02/ราคากลาง-จ้างติดตั้งสถานีโทรมาตรอัตโนมัติในพื้นที่ต้นน้ำ-จำนวน-1-งาน.pdf,"ต้องตรวจเลขหน้า รุ่นอุปกรณ์ และความสัมพันธ์ระหว่างสถานีกับหน่วยพิทักษ์"
thaiwater_data_service,คลังข้อมูลน้ำแห่งชาติ,สถาบันสารสนเทศทรัพยากรน้ำ,ground_observation,"rainfall|temperature|humidity|pressure|water level|station metadata",point,"hourly/daily; varies by station",near-real-time,public JSON web endpoints,primary,gauge observations,active,https://www.thaiwater.net/,"public endpoint ใช้งานได้แต่ coverage ต่างกันรายตัวแปร; เวลา API ไม่มี timezone offset จึงต้องยืนยัน convention; ต้องตรวจ null freshness duplicate และสิทธิ์ก่อน production"
dwr_telemetry,ระบบติดตามสถานการณ์น้ำทางไกลอัตโนมัติ,กรมทรัพยากรน้ำ,ground_observation,"rainfall|water level|flow",point,near-real-time,varies,web/API,primary,support gauges,candidate,https://telemetry.dwr.go.th/home,"ต้องค้นสถานีในพื้นที่กันชนและตรวจความต่อเนื่องรายสถานี"
tmd_radar_satellite,ข้อมูลเรดาร์และดาวเทียม,TMD,radar_satellite,"reflectivity|QPE|satellite rainfall",0.01 degree grid,60 minutes,product dependent,QPE ASCII ZIP,primary,nowcast and spatial rainfall,blocked_stale_latest,https://weather.tmd.go.th/composite/compositeQPE_VTBB_latest.asc.zip,"พบ feed ตัวเลข Radar composite QPE Prr60 แล้ว แต่ไฟล์ latest ที่ตรวจ 23 ส.ค. 2569 มี product time 11 ก.ค. 2569; freshness gate 6 ชั่วโมงต้อง skip จนแหล่งกลับมาสด และยังต้องประเมิน beam blockage ในภูเขา"
nasa_imerg_early,GPM IMERG Early Run,NASA GPM,satellite,"precipitation|random error|quality index",0.1 degree grid,30 minutes,about 4 hours,HTTPS/registered services,primary,near-real-time gap filling,candidate,https://gpm.nasa.gov/data/imerg,"ค่ากริดประมาณ 10 กม.; ต้องปรับ bias กับ gauge และไม่เท่ากับค่ากระบอกวัด"
nasa_imerg_final,GPM IMERG Final Run,NASA GPM,satellite_gauge,"precipitation|random error|quality index",0.1 degree grid,30 minutes,about 3.5 months,HTTPS/registered services,primary,historical calibration,candidate,https://gpm.nasa.gov/resources/documents/imerg-v07-technical-documentation,"เหมาะ backfill/วิจัย ไม่เหมาะแจ้งเตือนสดเพราะ latency สูง"
noaa_gfs,Global Forecast System,NOAA/NCEP,numerical_forecast,"precipitation|temperature|humidity|wind",0.25 degree grid,model steps,model-run dependent,open data,primary,forecast model,candidate,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,"กริดหยาบกว่าภูมิประเทศจริง; ต้องเก็บแต่ละ model run เพื่อ verify lead time"
ecmwf_open,ECMWF Open Data IFS/AIFS,ECMWF,numerical_forecast,"total precipitation|2m temperature|dewpoint|ensemble",0.25 degree grid,model steps,about 1 hour after dissemination,open data,primary,forecast ensemble,candidate,https://www.ecmwf.int/en/forecasts/datasets/open-data,"ชุดเปิดเป็น subset; ความละเอียดจริงของภูเขาต่ำกว่าความละเอียด DEM"
copernicus_dem,Copernicus DEM GLO-30,Copernicus,terrain,elevation,30 metre grid,static,static,registered/licensed view,primary,terrain correction,candidate,https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,"ข้อกำหนดการเข้าถึง GLO-30 เปลี่ยนตั้งแต่ 28 ก.ค. 2569 ต้องยืนยันสิทธิ์ก่อนดึง"
openstreetmap,OpenStreetMap,OSM contributors,reference_map,"roads|places|POI",vector,varies,community update,open data,secondary,map and provisional anchors,active,https://www.openstreetmap.org/,"ไม่ใช่แหล่งยืนยันสถานีอุตุนิยมวิทยา; ใช้ช่วยค้นและแสดงแผนที่เท่านั้น"
