route_id,source_id,domain,geographic_scope,priority_order,fallback_group,independence_group,expected_freshness_minutes,request_timeout_seconds,max_retries,credential_env,connector,enabled,status,notes
thaiwater_observations,thaiwater_data_service,weather_water,north_thailand,1,ground_observation,thai_gauge_network,180,120,1,,src/fetch_thaiwater_observations.py,1,active,"สถานีภาคพื้นหลัก; ต้องแยกเจ้าของสถานีต้นทางเพื่อป้องกันการนับซ้ำ"
tmd_radar_qpe,tmd_radar_satellite,weather_water,thailand,1,spatial_rain,tmd_radar_network,90,90,1,,src/fetch_tmd_qpe.py,1,active,"แหล่งเรดาร์หลัก แต่ freshness gate ต้องตัดผลิตภัณฑ์เก่า"
open_meteo_points,open_meteo_best_match,weather_forecast,north_thailand,4,forecast_model,open_meteo_aggregate,180,120,1,,src/fetch_open_meteo_baseline.py,1,active,"baseline aggregator ไม่ถือเป็นโมเดลอิสระเมื่อเพิ่ม GFS/ECMWF โดยตรง"
open_meteo_grid,open_meteo_best_match,weather_forecast,mae_ping_grid,4,forecast_grid,open_meteo_aggregate,180,180,1,,src/fetch_grid_forecast.py,1,active,"กริด 5 กม. สำหรับหน้าแผนที่; lineage เดียวกับ open_meteo_points"
gistda_flood,gistda_disaster_flood,flood,north_thailand,1,flood_extent,gistda_flood_mapping,2160,90,1,GISTDA_API_KEY,"src/fetch_gistda_disasters.py --product flood",1,credential_required,"GeoJSON พื้นที่น้ำท่วม ใช้ยืนยันเชิงพื้นที่"
gistda_fire,gistda_disaster_fire,wildfire,north_thailand,1,hotspot,viirs_satellite,360,90,1,GISTDA_API_KEY,"src/fetch_gistda_disasters.py --product fire",1,credential_required,"จุดความร้อน VIIRS; lineage เดียวกับ NASA FIRMS VIIRS"
gistda_drought,gistda_disaster_drought,drought,north_thailand,1,drought_index,gistda_drought_products,11520,120,1,GISTDA_API_KEY,,0,credential_required,"DRIPlus/NDWI/SMAP เป็น WMS/WMTS ต้องเพิ่ม raster sampler"
usgs_earthquakes,usgs_earthquake_geojson,earthquake,thailand_and_neighbors,2,earthquake_event,usgs_comcat,10,60,1,,src/fetch_usgs_earthquakes.py,1,active,"สำรองระดับสากล; TMD ต้องเป็นแหล่งหลักเมื่อเชื่อม API ได้"
tmd_open_weather,tmd_open_api,weather_forecast,thailand,1,forecast_model,tmd_operational_weather,180,90,1,TMD_API_TOKEN,,0,credential_required,"รอ token และ mapping schema ทางการ"
tmd_earthquakes,tmd_earthquake_api,earthquake,thailand_and_neighbors,1,earthquake_event,tmd_seismic_network,10,60,1,TMD_API_TOKEN,,0,credential_required,"แหล่งหลักเหตุการณ์ในประเทศไทย"
dwr_telemetry,dwr_telemetry,water,north_thailand,2,ground_water,dwr_telemetry_network,180,90,1,,,0,candidate,"ต้องยืนยัน endpoint ที่เสถียรและเงื่อนไขใช้งาน"
rid_reservoir,rid_reservoir_public,water,thailand,1,reservoir,rid_reservoir_network,2160,60,1,,src/fetch_rid_reservoirs.py,0,candidate,"ข้อมูลรายวัน เรียกวันละไม่เกิน 2-4 ครั้ง"
ecmwf_forecast,ecmwf_open,weather_forecast,north_thailand,1,forecast_model,ecmwf_ifs_aifs,420,180,1,,,0,candidate,"โมเดลอิสระหลักที่จะใช้ ensemble"
noaa_forecast,noaa_gfs,weather_forecast,north_thailand,2,forecast_model,noaa_gfs,420,180,1,,,0,candidate,"โมเดลสำรองอิสระจาก ECMWF"
nasa_imerg,nasa_imerg_early,weather_water,north_thailand,2,spatial_rain,gpm_imerg_algorithm,360,180,1,NASA_EARTHDATA_TOKEN,,0,credential_required,"เติมช่องว่างเมื่อเรดาร์/สถานีขาด แต่ต้อง bias-correct"
jaxa_gsmap,jaxa_gsmap_nrt,weather_water,north_thailand,3,spatial_rain,gsmap_algorithm,360,180,1,JAXA_GSMAP_USER,,0,credential_required,"อัลกอริทึมต่างจาก IMERG แต่มีดาวเทียม input บางส่วนร่วมกัน"
glofas_forecast,copernicus_glofas,water_forecast,north_thailand,3,river_forecast,glofas_model,2160,180,1,CDS_API_KEY,,0,credential_required,"เหมาะสำหรับลำน้ำหลักและแนวโน้ม ไม่แทนระดับน้ำสถานี"
nasa_firms_fire,nasa_firms,wildfire,north_thailand,2,hotspot,viirs_satellite,180,90,1,NASA_FIRMS_MAP_KEY,,0,credential_required,"สำรอง GISTDA fire โดยไม่เพิ่มน้ำหนักซ้ำ"
pcd_air_quality,pcd_air4thai,air_quality,north_thailand,1,air_quality,pcd_ground_network,180,90,1,,,0,candidate,"ต้องยืนยัน API ทางการและ mapping สถานี"
dmr_landslide,dmr_geohazard,landslide,north_thailand,1,landslide,dmr_geohazard_network,360,90,1,,,0,candidate,"แยกชั้นเสี่ยงคงที่ออกจากเหตุการณ์/สัญญาณเตือนสด"
