station_id,code,name_th,aliases_th,latitude,longitude,coordinate_role,confidence,verification_status,primary_source_id,source_url,notes
HQ,HQ,ที่ทำการอุทยานแห่งชาติแม่ปิง,,17.670391,98.870021,exact_station,high,documented,hii_station_document,https://www.hii.or.th/wp-content/uploads/2026/02/ราคากลาง-จ้างติดตั้งสถานีโทรมาตรอัตโนมัติในพื้นที่ต้นน้ำ-จำนวน-1-งาน.pdf,"เอกสาร HII/DNP ระบุชื่อและพิกัดโดยตรง; ThaiWater DNP089 ที่ 17.670780,98.870050 อยู่ห่างประมาณ 43 ม. และมีฝน/อุณหภูมิ จึงควรเก็บ sensor location แยกก่อนใช้เป็น gauge truth"
MP01,มป.1,น้ำตกก้อ,ก้อหลวง,17.5834,98.8176,area_anchor,medium,needs_field_confirmation,legacy_area_research,https://www.gpsteawthai.com/index.php?topic=1499.0,"พิกัดสถานที่/พื้นที่ ไม่ใช่พิกัดกระบอกวัด"
MP02,มป.2,แก่งก้อ,,17.6710,98.7652,area_anchor,medium,needs_field_confirmation,legacy_area_research,https://www.gpsteawthai.com/index.php?topic=1499.0,"พิกัดพื้นที่ท่องเที่ยว ใช้สกัดค่ากริดชั่วคราวเท่านั้น"
MP03,มป.3,ทุ่งกิ๊ก,,17.5606,98.8755,area_anchor,medium,needs_field_confirmation,legacy_area_research,https://www.gpsteawthai.com/index.php?topic=1499.0,"ต้องยืนยันอาคารหน่วย/จุดวัดจริง"
MP04,มป.4,แม่ลาน,,17.7658,98.8207,area_anchor,low,needs_field_confirmation,legacy_area_research,https://www.gpsteawthai.com/index.php?topic=1499.0,"พิกัดกลางพื้นที่อ้างอิง"
MP05,มป.5,ดอยเต่า,บ้านผาจุก,17.9279,98.6989,area_anchor,medium,needs_field_confirmation,legacy_area_research,,"ใช้บ้านผาจุกเป็นพื้นที่อ้างอิง ไม่ใช่ตัวอาคารหน่วย"
MP06,มป.6,บ้านก้อ,บ้านก้อจอก,17.64256,98.77144,area_anchor,medium,needs_field_confirmation,openstreetmap,https://www.openstreetmap.org/,"พิกัดหมู่บ้าน ใช้เป็นพื้นที่อ้างอิง"
MP07,มป.7,น้ำห่อ,ถ้ำหม้อ,17.817824,98.751017,exact_station,medium,source_conflict,hii_station_document,https://www.hii.or.th/wp-content/uploads/2026/02/ราคากลาง-จ้างติดตั้งสถานีโทรมาตรอัตโนมัติในพื้นที่ต้นน้ำ-จำนวน-1-งาน.pdf,"ThaiWater DNP088 ระบุ มป.7 (ถ้ำหม้อ) ที่ 17.817820,98.751040 ตรงพิกัดเดิมและมีฝน/อุณหภูมิ แต่ยังขัดกับชื่อน้ำห่อ ต้องให้ DNP ยืนยันว่าเปลี่ยนชื่อ/ย้ายหน่วยหรือเป็นคนละจุด"
MP08,มป.8,ห้วยฟ้าผ่า,,,,unknown,low,missing_coordinate,legacy_area_research,https://www.gpsteawthai.com/index.php?topic=1499.0,"ทราบชื่อหน่วยแต่ยังไม่มีพิกัดที่ตรวจย้อนกลับได้"
MP09,มป.9,ผาดำ–ผาแดง,ผาแดงหลวง,17.4901904,98.7794662,area_anchor,medium,needs_field_confirmation,google_maps_place,https://goo.gl/maps/zncoVrhgJVYM8THm9,"Google Maps Place ของจุดชมพระอาทิตย์ขึ้นผาแดงหลวง; ยืนยันซ้ำจาก short link อีกแหล่งที่ resolve ไป Place ID เดียวกัน แต่ยังไม่ใช่พิกัดอาคารหน่วย มป.9"
MP10,มป.10,อุ้มปาด,Um Pad|Um Pat,17.6300,98.6800,area_anchor,low,needs_field_confirmation,legacy_area_research,,"พิกัดพื้นที่จากฐานภูมิศาสตร์เก่า ไม่ใช่พิกัดสถานี"
MP11,มป.11,ดอยขุนเม่น,บ้านหนองเชียงคา|น้ำตกแม่ดูด,17.3439793,99.0513933,area_anchor,medium,needs_field_confirmation,openstreetmap,https://www.openstreetmap.org/node/5028487061,"พิกัดหมู่บ้านหนองเชียงคา; ThaiWater STN1266 อยู่ที่ 17.345768,99.050204 และยืนยันโซน แต่ยังไม่ใช่พิกัดตัวหน่วยดอยขุนเม่น"
MP12,มป.12,ถ้ำยางวี,ก้อน้อย,,,unknown,low,missing_coordinate,legacy_area_research,https://cbtthailand.dasta.or.th/webapp/relattraction/content/2265/,"ยืนยันสถานที่ในอุทยานได้ แต่ยังไม่มีพิกัดหน่วยที่ตรวจย้อนกลับได้"
